,l_id,location
0,0,四川省甘孜藏族自治州道孚县
1,1,广西壮族自治区南宁市
2,2,广西壮族自治区桂林市
3,3,广东省深圳市
4,4,虹桥火车站
5,5,江苏省苏州市
6,6,上海市上海市
7,7,上海虹桥机场
8,8,广东省深圳市龙岗区
9,9,广西壮族自治区河池市
10,10,星湖
11,11,广东省肇庆市
12,12,人民医院
13,13,广东省肇庆市端州区
14,14,安徽省马鞍山市和县
15,15,化马湾乡卫生院
16,16,泰山
17,17,山东省泰安市
18,18,蔡园镇
19,19,云南省红河哈尼族彝族自治州蒙自市
20,20,湖北省黄冈市
21,21,四川省成都市温江区
22,22,四川省成都市大邑县
23,23,都安
24,24,湖南省常德市澧县
25,25,安徽省合肥市包河区
26,26,安徽省合肥市瑶海区
27,27,山东省泰安市泰山区
28,28,山东省淄博市张店区
29,29,北京市北京市西城区
30,30,北京市北京市通州区
31,31,医院
32,32,吉林省通化市集安市
33,33,清河
34,34,湖北省武汉市
35,35,万州
36,36,重庆市重庆市万州区
37,37,北山中心
38,38,西山
39,39,武陵
40,40,武陵镇
41,41,武陵镇黄金村
42,42,浙江省温州市
43,43,湖北省仙桃市
44,44,万州南站
45,45,白羊镇
46,46,重庆市重庆市江北区
47,47,湖北省
48,48,海南省海口市秀英区
49,49,东山镇政府公司
50,50,海南省儋州市
51,51,定安县
52,52,从江
53,53,龙华区
54,54,海南省海口市
55,55,凤翔
56,56,河北省唐山市迁安市
57,57,云南省昆明市
58,58,云南省曲靖市
59,59,呈贡区
60,60,街道
61,61,广德
62,62,四川省泸州市泸县
63,63,牛滩镇卫生院
64,64,黑龙江省大庆市
65,65,黑龙江省齐齐哈尔市
66,66,黑龙江省七台河市勃利县
67,67,黑龙江省齐齐哈尔市讷河市
68,68,黑龙江省牡丹江市东安区
69,69,黑龙江省牡丹江市
70,70,西安区
71,71,黑龙江省哈尔滨市南岗区
72,72,便利店
73,73,华山
74,74,奋斗路商场
75,75,黑龙江省哈尔滨市道里区
76,76,广东省东莞市
77,77,安徽省阜阳市
78,78,北京西
79,79,安徽省蚌埠市
80,80,安徽省合肥市
81,81,浙江省杭州市
82,82,北京市北京市
83,83,山东省临沂市沂水县
84,84,河南省安阳市文峰区
85,85,河南省安阳市
86,86,河南省安阳市殷都区
87,87,山东省济南市
88,88,河南省安阳市内黄县
89,89,陕西省西安市
90,90,河南省安阳市滑县
91,91,诊所
92,92,河南省安阳市汤阴县
93,93,河南省安阳市林州市
94,94,河南省安阳市北关区
95,95,河南省安阳市安阳县
96,96,湖南省岳阳市
97,97,河南省安阳市龙安区
98,98,广安门
99,99,医院门诊
100,100,山西省晋城市城区
101,101,吉林省四平市双辽市
102,102,吉林省
103,103,浙江省嘉兴市平湖市
104,104,河北省张家口市康保县
105,105,四川省泸州市龙马潭区
106,106,大通
107,107,牛滩镇卫生室
108,108,四川省泸州市
109,109,四川省成都市新都区
110,110,黑龙江省哈尔滨市五常市
111,111,总医院哈医大二院哈医大二院
112,112,胸科医院
113,113,黑龙江省绥化市绥棱县
114,114,湖北省咸宁市
115,115,广西壮族自治区玉林市玉州区
116,116,都安县人民医院
117,117,广东省惠州市
118,118,广东省惠州市惠东县
119,119,安徽省阜阳市颍上县
120,120,安徽省六安市霍邱县
121,121,山东省青岛市市北区
122,122,河南省许昌市
123,123,北京市北京市东城区
124,124,河南省许昌市魏都区
125,125,门诊
126,126,陈曹乡卫生院分院
