id,id_positon,position
0,0,四川省 甘孜藏族自治州 道孚县
1,1,广西壮族自治区 南宁市 西乡塘区
2,2,广西壮族自治区 桂林市 临桂区
3,3,广西壮族自治区 河池市 都安县
4,4,广东省 肇庆市 端州区
5,5,安徽省 马鞍山市 和县
6,6,山东省 泰安市 徂汶景区
7,7,河北省 唐山市 迁安市
8,8,云南省 红河哈尼族彝族自治州 蒙自市
9,0,四川省 甘孜藏族自治州 道孚县
10,9,四川省 达州市 开江县
11,10,四川省 成都市 温江区
12,11,四川省 成都市 大邑县
13,3,广西壮族自治区 河池市 都安县
14,12,湖南省 常德市 澧县
15,13,安徽省 合肥市 包河区
16,14,山东省 泰安市 泰山区
17,15,山东省 淄博市 张店区
18,16,北京市 西城区 
19,17,北京市 通州区 
20,18,吉林省 通化市 集安市
21,19,重庆市 万州区 
22,19,重庆市 万州区 
23,19,重庆市 万州区 
24,19,重庆市 万州区 
25,19,重庆市 万州区 
26,19,重庆市 万州区 
27,20,重庆市 江北区 
28,21,海南省 秀英区 
29,22,海南省 儋州市 
30,22,海南省 儋州市 
31,22,海南省 儋州市 
32,23,海南省 海口市 
33,7,河北省 唐山市 迁安市
34,24,云南省 昆明市 
35,25,云南省 昆明市 呈贡区
36,26,四川省 达州市 大竹县
37,27,四川省 泸州市 泸县
38,27,四川省 泸州市 泸县
39,27,四川省 泸州市 泸县
40,27,四川省 泸州市 泸县
41,0,四川省 甘孜藏族自治州 道孚县
42,0,四川省 甘孜藏族自治州 道孚县
43,28,黑龙江省 大庆市 让胡路区
44,28,黑龙江省 大庆市 让胡路区
45,28,黑龙江省 大庆市 让胡路区
46,29,黑龙江省 七台河市 勃利县
47,30,黑龙江省 牡丹江市 东安区
48,31,黑龙江省 哈尔滨市 南岗区
49,32,黑龙江省 哈尔滨市 道里区
50,18,吉林省 通化市 集安市
51,33,广西壮族自治区 防城港市 港口区
52,34,广东省 东莞市 沙田镇
53,35,安徽省 蚌埠市 龙子湖区
54,36,山东省 临沂市 沂水县
55,14,山东省 泰安市 泰山区
56,37,河南省 安阳市 殷都区
57,38,河南省 安阳市 文峰区
58,37,河南省 安阳市 殷都区
59,38,河南省 安阳市 文峰区
60,38,河南省 安阳市 文峰区
61,38,河南省 安阳市 文峰区
62,38,河南省 安阳市 文峰区
63,38,河南省 安阳市 文峰区
64,39,河南省 安阳市 内黄县
65,38,河南省 安阳市 文峰区
66,40,河南省 安阳市 滑县
67,38,河南省 安阳市 文峰区
68,38,河南省 安阳市 文峰区
69,38,河南省 安阳市 文峰区
70,38,河南省 安阳市 文峰区
71,41,河南省 安阳市 林州市
72,38,河南省 安阳市 文峰区
73,38,河南省 安阳市 文峰区
74,38,河南省 安阳市 文峰区
75,39,河南省 安阳市 内黄县
76,38,河南省 安阳市 文峰区
77,42,河南省 安阳市 
78,43,河南省 安阳市 北关区
79,44,河南省 安阳市 安阳县
